Variables: tmin, tmax, prcp
G13121011610.csv, 34.0819653494612, -84.312446091351
G13121011614.csv, 34.0993916403279, -84.2693334201061
G13121011618.csv, 34.056188291716, -84.2597877096557
G13121003000.csv, 33.7590037157433, -84.3574496357058
G13121011000.csv, 33.674196101688, -84.4269481364322
G13121001700.csv, 33.7659023805972, -84.3671952575796
G13121001400.csv, 33.7770785171881, -84.3622633975523
G13121011418.csv, 34.0406642875636, -84.3909286377559
G13121002600.csv, 33.7587958129087, -84.4026295753366
G13121011425.csv, 34.0115983428276, -84.2416107121295
G13121011423.csv, 34.0177367077183, -84.3840157981751
G13121008903.csv, 33.8172642755421, -84.4438763078164
G13121001001.csv, 33.7811252782487, -84.3916396768875
G13121004300.csv, 33.7453619531549, -84.4091075698655
G13121008904.csv, 33.8202179742037, -84.4349343939179
