X,Y,GEOID10,TRACTID,GISJN_TCT,coord_query
-84.39517209594028,33.88154627981481,13121010211,13121010211,G13121010211,"G13121010211.csv, 33.8815462798148, -84.3951720959403"
-84.41780293695294,33.837060456895905,13121009801,13121009801,G13121009801,"G13121009801.csv, 33.8370604568959, -84.4178029369529"
-84.37064208917215,33.93115364383428,13121010121,13121010121,G13121010121,"G13121010121.csv, 33.9311536438343, -84.3706420891722"
-84.34523261475134,33.99130401082579,13121010119,13121010119,G13121010119,"G13121010119.csv, 33.9913040108258, -84.3452326147513"
-84.45748177496138,33.80986962119398,13121008800,13121008800,G13121008800,"G13121008800.csv, 33.809869621194, -84.4574817749614"
-84.48865239589489,33.79315118500642,13121008602,13121008602,G13121008602,"G13121008602.csv, 33.7931511850064, -84.4886523958949"
-84.38522245990778,33.79656504070486,13121000500,13121000500,G13121000500,"G13121000500.csv, 33.7965650407049, -84.3852224599078"
-84.3801732908162,33.82160309196152,13121009300,13121009300,G13121009300,"G13121009300.csv, 33.8216030919615, -84.3801732908162"
-84.24543749904774,34.0665622252169,13121011619,13121011619,G13121011619,"G13121011619.csv, 34.0665622252169, -84.2454374990477"
-84.23457046154772,34.08846646854309,13121011621,13121011621,G13121011621,"G13121011621.csv, 34.0884664685431, -84.2345704615477"
-84.19030535494119,34.03962229189153,13121011623,13121011623,G13121011623,"G13121011623.csv, 34.0396222918915, -84.1903053549412"
-84.19800941086118,34.0285695521133,13121011625,13121011625,G13121011625,"G13121011625.csv, 34.0285695521133, -84.1980094108612"
-84.49118188557873,33.682965842545805,13121007705,13121007705,G13121007705,"G13121007705.csv, 33.6829658425458, -84.4911818855787"
-84.2001941806937,34.00524288397363,13121011612,13121011612,G13121011612,"G13121011612.csv, 34.0052428839736, -84.2001941806937"
-84.36778865106525,33.710292459240996,13121006801,13121006801,G13121006801,"G13121006801.csv, 33.710292459241, -84.3677886510653"
-84.35877057923216,33.71831378388549,13121006900,13121006900,G13121006900,"G13121006900.csv, 33.7183137838855, -84.3587705792322"
-84.41716392887743,33.92514553657455,13121010204,13121010204,G13121010204,"G13121010204.csv, 33.9251455365745, -84.4171639288774"
-84.35465556096948,33.69635780830327,13121007100,13121007100,G13121007100,"G13121007100.csv, 33.6963578083033, -84.3546555609695"
-84.44356192039085,33.84367614971282,13121009700,13121009700,G13121009700,"G13121009700.csv, 33.8436761497128, -84.4435619203908"
-84.41803454954209,33.896880327262814,13121010206,13121010206,G13121010206,"G13121010206.csv, 33.8968803272628, -84.4180345495421"
-84.39486453296904,33.859903267804164,13121009900,13121009900,G13121009900,"G13121009900.csv, 33.8599032678042, -84.394864532969"
-84.41142302701392,33.81324957779816,13121009000,13121009e3,G13121009000,"G13121009000.csv, 33.8132495777982, -84.4114230270139"
-84.53016359446218,33.71112198094249,13121007802,13121007802,G13121007802,"G13121007802.csv, 33.7111219809425, -84.5301635944622"
-84.53822863683646,33.752896190204154,13121007805,13121007805,G13121007805,"G13121007805.csv, 33.7528961902042, -84.5382286368365"
-84.54503273471917,33.550234487832924,13121010510,13121010510,G13121010510,"G13121010510.csv, 33.5502344878329, -84.5450327347192"
-84.53564185157943,33.586360980159576,13121010512,13121010512,G13121010512,"G13121010512.csv, 33.5863609801596, -84.5356418515794"
-84.35390072775881,33.776497093814505,13121001500,13121001500,G13121001500,"G13121001500.csv, 33.7764970938145, -84.3539007277588"
-84.49686208221257,33.76245064228066,13121007807,13121007807,G13121007807,"G13121007807.csv, 33.7624506422807, -84.4968620822126"
-84.3544772613391,33.735511079464125,13121005200,13121005200,G13121005200,"G13121005200.csv, 33.7355110794641, -84.3544772613391"
