GEOID10,TRACTID,GISJN_TCT,cty_fips,class_mm,class_mm_char,elev_m,develop_pct,prcp,tmax,tmin,totpop,white_nh,afam_nh,natam_nh,asian_nh,hisp,fb_pop,nonga_pop,ga_pop,cmute_car,cmute_carp,cmute_public,cmute_bike,cmute_walk,cmute_home,medinc,povpop_50pct,popop_99pct,inc_10K,inc_150K,inc_200K,tenure_own,tenure_rent,ind_ag,ind_const,ind_manuf,ind_wholetrd,ind_retltrd,ind_transp,ind_info,ind_finance,ind_prof,ind_ed,ind_arts,ind_public
13015960803,13015960803,G13015960803,13015,2,"White, low diversity",255.78181818181818,6.34,1343,22.56392694063927,9.82054794520548,5417,85.1,1.9,0.6,5,5,6,28.2,65.5,79.8,10.3,1.1,0,0.6,6.3,47483,5.4,5.4,3.3,3.1,4.9,66.8,33.2,2.7,9.6,10.6,2.3,16.6,5.6,1.8,4.9,12.9,14.8,11.8,2.1
13015960600,13015960600,G13015960600,13015,8,"White, moderate diversity",218.13860140865316,30.72,1315,22.80091324200913,9.90730593607306,9131,70.7,19.7,0,0,8.8,3.4,28.9,67.4,81.2,10.2,0,0,1.6,5.9,49448,12.7,12.7,11.4,3.1,4.6,54.3,45.7,1.1,7,14.6,2.3,16.6,5.5,0.6,7.6,9,14.8,11.9,1.8
13015960200,13015960200,G13015960200,13015,2,"White, low diversity",265.86978866596985,4.29,1317,22.58949771689498,9.773972602739725,11342,86.3,10,0,0,3.5,1.1,21.8,76.5,75.2,13.9,1.7,0,1.5,6,43181,5.4,5.4,6.5,0.4,1.3,59.9,40.1,1.5,10.3,20.5,3.5,10.2,10.5,2,3.1,8.5,18.2,6.6,1.9
13015960902,13015960902,G13015960902,13015,2,"White, low diversity",237.74585581167239,5.83,1318,22.61095890410959,9.725570776255708,6351,82.8,9.5,1.6,0.6,4.8,1.5,27.2,69.8,94.6,4.7,0,0,0,0,58518,4.7,4.7,3,1.2,1.3,83.5,16.5,0.7,13.2,16.4,1.7,12.5,9.5,2.1,4,5.6,22.8,7.5,2.5
13015960500,13015960500,G13015960500,13015,8,"White, moderate diversity",242.48822658274713,15.39,1310,22.724657534246575,9.817351598173516,8056,69.5,17,2,0,10.2,7,30.3,62.8,85.7,3.3,1.4,0,0,5.6,46313,11.6,11.6,9.3,0.8,2.8,48.7,51.3,0.4,3.6,21.7,1.6,12.4,4.3,1.2,4.6,11.1,20.4,9.5,5.2
13015960801,13015960801,G13015960801,13015,2,"White, low diversity",275.94132329930704,8.71,1375,22.427397260273974,9.808675799086759,3327,85.4,5,0.4,2,6.3,4.5,37.1,58,82.9,8.1,2.7,0,0,5.5,52037,5.3,5.3,5.7,2.9,3.1,74.3,25.7,0,19.9,7.2,6.4,13.3,2.7,0.5,3.1,10.7,17.2,10.8,3.9
13015960300,13015960300,G13015960300,13015,2,"White, low diversity",240.43229586686442,1.83,1303.6666666666667,22.483561643835614,9.655707762557077,6714,82.7,4.9,0,1.7,10.7,6.4,26.7,63.7,88.3,4.4,1.1,0,0,3.4,60550,4.1,4.1,3.3,5.3,1.5,75.6,24.4,3.2,6.1,17.4,4.6,11.5,4.5,2.8,2.7,9.6,21.1,4.6,4.4
13015960700,13015960700,G13015960700,13015,8,"White, moderate diversity",279.9840993758172,8.77,1397.6666666666667,22.409132420091325,9.752511415525115,7657,55.8,20,0.6,1.9,18.2,12.6,37.8,49,75.5,10,0,0,1.4,11.8,42318,2.6,2.6,0.8,4.2,1.7,38.7,61.3,0.1,13.5,23.1,0.5,13,1.8,2.9,7.8,7.3,19.7,7.4,2
13045910101,13045910101,G13045910101,13045,8,"White, moderate diversity",345.75648088139985,26.04,1451.6666666666667,22.035616438356165,9.668493150684931,6224,58.6,29.5,0,1.7,3.8,2.9,29.4,65.4,70.6,16,0,0,2.1,11.4,35689,15.4,15.4,13.2,0,2.6,48.6,51.4,1.7,5.2,16.8,3.7,8.3,4.4,0.7,3.9,16.5,20.2,15.2,1.6
13045910200,13045910200,G13045910200,13045,2,"White, low diversity",345.5947357785944,4.75,1454.3333333333333,21.97077625570776,9.559360730593607,11669,83.1,13.6,0,0,2.7,1,26.2,71.5,86.8,11.7,0,0,0,1.5,44389,6.9,6.9,4.7,3.4,0,71.5,28.5,1.7,7.4,12.4,7.5,15.3,8.6,1.2,1.6,11.2,16.3,7.7,3.6
